iso_code,country,date,owid_diabetes_prevalence
OMN,Oman,2020-09-13,12.61
OMN,Oman,2020-09-14,12.61
OMN,Oman,2020-09-15,12.61
OMN,Oman,2020-09-16,12.61
OMN,Oman,2020-09-17,12.61
OMN,Oman,2020-09-18,12.61
OMN,Oman,2020-09-19,12.61
OMN,Oman,2020-09-20,12.61
OMN,Oman,2020-09-21,12.61
OMN,Oman,2020-09-22,12.61
OMN,Oman,2020-09-23,12.61
OMN,Oman,2020-09-24,12.61
OMN,Oman,2020-09-25,12.61
OMN,Oman,2020-09-26,12.61
OMN,Oman,2020-09-27,12.61
OMN,Oman,2020-09-28,12.61
OMN,Oman,2020-09-29,12.61
OMN,Oman,2020-09-30,12.61
OMN,Oman,2020-10-01,12.61
OMN,Oman,2020-10-02,12.61
OMN,Oman,2020-10-03,12.61
OMN,Oman,2020-10-04,12.61
OMN,Oman,2020-10-05,12.61
OMN,Oman,2020-10-06,12.61
OMN,Oman,2020-10-07,12.61
OMN,Oman,2020-10-08,12.61
OMN,Oman,2020-10-09,12.61
OMN,Oman,2020-10-10,12.61
PAK,Pakistan,2019-12-31,8.35
PAK,Pakistan,2020-01-01,8.35
PAK,Pakistan,2020-01-02,8.35
PAK,Pakistan,2020-01-03,8.35
PAK,Pakistan,2020-01-04,8.35
PAK,Pakistan,2020-01-05,8.35
PAK,Pakistan,2020-01-06,8.35
PAK,Pakistan,2020-01-07,8.35
PAK,Pakistan,2020-01-08,8.35
PAK,Pakistan,2020-01-09,8.35
PAK,Pakistan,2020-01-10,8.35
PAK,Pakistan,2020-01-11,8.35
PAK,Pakistan,2020-01-12,8.35
PAK,Pakistan,2020-01-13,8.35
PAK,Pakistan,2020-01-14,8.35
PAK,Pakistan,2020-01-15,8.35
PAK,Pakistan,2020-01-16,8.35
PAK,Pakistan,2020-01-17,8.35
PAK,Pakistan,2020-01-18,8.35
PAK,Pakistan,2020-01-19,8.35
PAK,Pakistan,2020-01-20,8.35
PAK,Pakistan,2020-01-21,8.35
PAK,Pakistan,2020-01-22,8.35
PAK,Pakistan,2020-01-23,8.35
PAK,Pakistan,2020-01-24,8.35
PAK,Pakistan,2020-01-25,8.35
PAK,Pakistan,2020-01-26,8.35
PAK,Pakistan,2020-01-27,8.35
PAK,Pakistan,2020-01-28,8.35
PAK,Pakistan,2020-01-29,8.35
PAK,Pakistan,2020-01-30,8.35
PAK,Pakistan,2020-01-31,8.35
PAK,Pakistan,2020-02-01,8.35
PAK,Pakistan,2020-02-02,8.35
PAK,Pakistan,2020-02-03,8.35
PAK,Pakistan,2020-02-04,8.35
PAK,Pakistan,2020-02-05,8.35
PAK,Pakistan,2020-02-06,8.35
PAK,Pakistan,2020-02-07,8.35
PAK,Pakistan,2020-02-08,8.35
PAK,Pakistan,2020-02-09,8.35
PAK,Pakistan,2020-02-10,8.35
PAK,Pakistan,2020-02-11,8.35
PAK,Pakistan,2020-02-12,8.35
PAK,Pakistan,2020-02-13,8.35
PAK,Pakistan,2020-02-14,8.35
PAK,Pakistan,2020-02-15,8.35
PAK,Pakistan,2020-02-16,8.35
PAK,Pakistan,2020-02-17,8.35
PAK,Pakistan,2020-02-18,8.35
PAK,Pakistan,2020-02-19,8.35
PAK,Pakistan,2020-02-20,8.35
PAK,Pakistan,2020-02-21,8.35
PAK,Pakistan,2020-02-22,8.35
PAK,Pakistan,2020-02-23,8.35
PAK,Pakistan,2020-02-24,8.35
PAK,Pakistan,2020-02-25,8.35
PAK,Pakistan,2020-02-26,8.35
PAK,Pakistan,2020-02-27,8.35
PAK,Pakistan,2020-02-28,8.35
PAK,Pakistan,2020-02-29,8.35
PAK,Pakistan,2020-03-01,8.35
PAK,Pakistan,2020-03-02,8.35
PAK,Pakistan,2020-03-03,8.35
PAK,Pakistan,2020-03-04,8.35
PAK,Pakistan,2020-03-05,8.35
PAK,Pakistan,2020-03-06,8.35
PAK,Pakistan,2020-03-07,8.35
PAK,Pakistan,2020-03-08,8.35
PAK,Pakistan,2020-03-09,8.35
PAK,Pakistan,2020-03-10,8.35
PAK,Pakistan,2020-03-11,8.35
PAK,Pakistan,2020-03-12,8.35
PAK,Pakistan,2020-03-13,8.35
PAK,Pakistan,2020-03-14,8.35
PAK,Pakistan,2020-03-15,8.35
PAK,Pakistan,2020-03-16,8.35
PAK,Pakistan,2020-03-17,8.35
PAK,Pakistan,2020-03-18,8.35
PAK,Pakistan,2020-03-19,8.35
PAK,Pakistan,2020-03-20,8.35
PAK,Pakistan,2020-03-21,8.35
PAK,Pakistan,2020-03-22,8.35
PAK,Pakistan,2020-03-23,8.35
PAK,Pakistan,2020-03-24,8.35
PAK,Pakistan,2020-03-25,8.35
PAK,Pakistan,2020-03-26,8.35
PAK,Pakistan,2020-03-27,8.35
PAK,Pakistan,2020-03-28,8.35
PAK,Pakistan,2020-03-29,8.35
PAK,Pakistan,2020-03-30,8.35
PAK,Pakistan,2020-03-31,8.35
PAK,Pakistan,2020-04-01,8.35
PAK,Pakistan,2020-04-02,8.35
PAK,Pakistan,2020-04-03,8.35
PAK,Pakistan,2020-04-04,8.35
PAK,Pakistan,2020-04-05,8.35
PAK,Pakistan,2020-04-06,8.35
PAK,Pakistan,2020-04-07,8.35
PAK,Pakistan,2020-04-08,8.35
PAK,Pakistan,2020-04-09,8.35
PAK,Pakistan,2020-04-10,8.35
PAK,Pakistan,2020-04-11,8.35
PAK,Pakistan,2020-04-12,8.35
PAK,Pakistan,2020-04-13,8.35
PAK,Pakistan,2020-04-14,8.35
PAK,Pakistan,2020-04-15,8.35
PAK,Pakistan,2020-04-16,8.35
PAK,Pakistan,2020-04-17,8.35
PAK,Pakistan,2020-04-18,8.35
PAK,Pakistan,2020-04-19,8.35
PAK,Pakistan,2020-04-20,8.35
PAK,Pakistan,2020-04-21,8.35
PAK,Pakistan,2020-04-22,8.35
PAK,Pakistan,2020-04-23,8.35
PAK,Pakistan,2020-04-24,8.35
PAK,Pakistan,2020-04-25,8.35
PAK,Pakistan,2020-04-26,8.35
PAK,Pakistan,2020-04-27,8.35
PAK,Pakistan,2020-04-28,8.35
PAK,Pakistan,2020-04-29,8.35
PAK,Pakistan,2020-04-30,8.35
PAK,Pakistan,2020-05-01,8.35
PAK,Pakistan,2020-05-02,8.35
PAK,Pakistan,2020-05-03,8.35
PAK,Pakistan,2020-05-04,8.35
PAK,Pakistan,2020-05-05,8.35
PAK,Pakistan,2020-05-06,8.35
PAK,Pakistan,2020-05-07,8.35
PAK,Pakistan,2020-05-08,8.35
PAK,Pakistan,2020-05-09,8.35
PAK,Pakistan,2020-05-10,8.35
PAK,Pakistan,2020-05-11,8.35
PAK,Pakistan,2020-05-12,8.35
PAK,Pakistan,2020-05-13,8.35
PAK,Pakistan,2020-05-14,8.35
PAK,Pakistan,2020-05-15,8.35
PAK,Pakistan,2020-05-16,8.35
PAK,Pakistan,2020-05-17,8.35
PAK,Pakistan,2020-05-18,8.35
PAK,Pakistan,2020-05-19,8.35
PAK,Pakistan,2020-05-20,8.35
PAK,Pakistan,2020-05-21,8.35
PAK,Pakistan,2020-05-22,8.35
PAK,Pakistan,2020-05-23,8.35
PAK,Pakistan,2020-05-24,8.35
PAK,Pakistan,2020-05-25,8.35
PAK,Pakistan,2020-05-26,8.35
PAK,Pakistan,2020-05-27,8.35
PAK,Pakistan,2020-05-28,8.35
PAK,Pakistan,2020-05-29,8.35
PAK,Pakistan,2020-05-30,8.35
PAK,Pakistan,2020-05-31,8.35
PAK,Pakistan,2020-06-01,8.35
PAK,Pakistan,2020-06-02,8.35
PAK,Pakistan,2020-06-03,8.35
PAK,Pakistan,2020-06-04,8.35
PAK,Pakistan,2020-06-05,8.35
PAK,Pakistan,2020-06-06,8.35
PAK,Pakistan,2020-06-07,8.35
PAK,Pakistan,2020-06-08,8.35
PAK,Pakistan,2020-06-09,8.35
PAK,Pakistan,2020-06-10,8.35
PAK,Pakistan,2020-06-11,8.35
PAK,Pakistan,2020-06-12,8.35
PAK,Pakistan,2020-06-13,8.35
PAK,Pakistan,2020-06-14,8.35
PAK,Pakistan,2020-06-15,8.35
PAK,Pakistan,2020-06-16,8.35
PAK,Pakistan,2020-06-17,8.35
PAK,Pakistan,2020-06-18,8.35
PAK,Pakistan,2020-06-19,8.35
PAK,Pakistan,2020-06-20,8.35
PAK,Pakistan,2020-06-21,8.35
PAK,Pakistan,2020-06-22,8.35
PAK,Pakistan,2020-06-23,8.35
PAK,Pakistan,2020-06-24,8.35
PAK,Pakistan,2020-06-25,8.35
PAK,Pakistan,2020-06-26,8.35
PAK,Pakistan,2020-06-27,8.35
PAK,Pakistan,2020-06-28,8.35
PAK,Pakistan,2020-06-29,8.35
PAK,Pakistan,2020-06-30,8.35
PAK,Pakistan,2020-07-01,8.35
PAK,Pakistan,2020-07-02,8.35
PAK,Pakistan,2020-07-03,8.35
PAK,Pakistan,2020-07-04,8.35
PAK,Pakistan,2020-07-05,8.35
PAK,Pakistan,2020-07-06,8.35
PAK,Pakistan,2020-07-07,8.35
PAK,Pakistan,2020-07-08,8.35
PAK,Pakistan,2020-07-09,8.35
PAK,Pakistan,2020-07-10,8.35
PAK,Pakistan,2020-07-11,8.35
PAK,Pakistan,2020-07-12,8.35
PAK,Pakistan,2020-07-13,8.35
PAK,Pakistan,2020-07-14,8.35
PAK,Pakistan,2020-07-15,8.35
PAK,Pakistan,2020-07-16,8.35
PAK,Pakistan,2020-07-17,8.35
PAK,Pakistan,2020-07-18,8.35
PAK,Pakistan,2020-07-19,8.35
PAK,Pakistan,2020-07-20,8.35
PAK,Pakistan,2020-07-21,8.35
PAK,Pakistan,2020-07-22,8.35
PAK,Pakistan,2020-07-23,8.35
PAK,Pakistan,2020-07-24,8.35
PAK,Pakistan,2020-07-25,8.35
PAK,Pakistan,2020-07-26,8.35
PAK,Pakistan,2020-07-27,8.35
PAK,Pakistan,2020-07-28,8.35
PAK,Pakistan,2020-07-29,8.35
PAK,Pakistan,2020-07-30,8.35
PAK,Pakistan,2020-07-31,8.35
PAK,Pakistan,2020-08-01,8.35
PAK,Pakistan,2020-08-02,8.35
PAK,Pakistan,2020-08-03,8.35
PAK,Pakistan,2020-08-04,8.35
PAK,Pakistan,2020-08-05,8.35
PAK,Pakistan,2020-08-06,8.35
PAK,Pakistan,2020-08-07,8.35
PAK,Pakistan,2020-08-08,8.35
PAK,Pakistan,2020-08-09,8.35
PAK,Pakistan,2020-08-10,8.35
PAK,Pakistan,2020-08-11,8.35
PAK,Pakistan,2020-08-12,8.35
PAK,Pakistan,2020-08-13,8.35
PAK,Pakistan,2020-08-14,8.35
PAK,Pakistan,2020-08-15,8.35
PAK,Pakistan,2020-08-16,8.35
PAK,Pakistan,2020-08-17,8.35
PAK,Pakistan,2020-08-18,8.35
PAK,Pakistan,2020-08-19,8.35
PAK,Pakistan,2020-08-20,8.35
PAK,Pakistan,2020-08-21,8.35
PAK,Pakistan,2020-08-22,8.35
PAK,Pakistan,2020-08-23,8.35
PAK,Pakistan,2020-08-24,8.35
PAK,Pakistan,2020-08-25,8.35
PAK,Pakistan,2020-08-26,8.35
PAK,Pakistan,2020-08-27,8.35
PAK,Pakistan,2020-08-28,8.35
PAK,Pakistan,2020-08-29,8.35
PAK,Pakistan,2020-08-30,8.35
PAK,Pakistan,2020-08-31,8.35
PAK,Pakistan,2020-09-01,8.35
PAK,Pakistan,2020-09-02,8.35
PAK,Pakistan,2020-09-03,8.35
PAK,Pakistan,2020-09-04,8.35
PAK,Pakistan,2020-09-05,8.35
PAK,Pakistan,2020-09-06,8.35
PAK,Pakistan,2020-09-07,8.35
PAK,Pakistan,2020-09-08,8.35
PAK,Pakistan,2020-09-09,8.35
PAK,Pakistan,2020-09-10,8.35
PAK,Pakistan,2020-09-11,8.35
PAK,Pakistan,2020-09-12,8.35
PAK,Pakistan,2020-09-13,8.35
PAK,Pakistan,2020-09-14,8.35
PAK,Pakistan,2020-09-15,8.35
PAK,Pakistan,2020-09-16,8.35
PAK,Pakistan,2020-09-17,8.35
PAK,Pakistan,2020-09-18,8.35
PAK,Pakistan,2020-09-19,8.35
PAK,Pakistan,2020-09-20,8.35
PAK,Pakistan,2020-09-21,8.35
PAK,Pakistan,2020-09-22,8.35
PAK,Pakistan,2020-09-23,8.35
PAK,Pakistan,2020-09-24,8.35
PAK,Pakistan,2020-09-25,8.35
PAK,Pakistan,2020-09-26,8.35
PAK,Pakistan,2020-09-27,8.35
PAK,Pakistan,2020-09-28,8.35
PAK,Pakistan,2020-09-29,8.35
PAK,Pakistan,2020-09-30,8.35
PAK,Pakistan,2020-10-01,8.35
PAK,Pakistan,2020-10-02,8.35
PAK,Pakistan,2020-10-03,8.35
PAK,Pakistan,2020-10-04,8.35
PAK,Pakistan,2020-10-05,8.35
PAK,Pakistan,2020-10-06,8.35
PAK,Pakistan,2020-10-07,8.35
PAK,Pakistan,2020-10-08,8.35
PAK,Pakistan,2020-10-09,8.35
PAK,Pakistan,2020-10-10,8.35
PAN,Panama,2020-03-09,8.33
PAN,Panama,2020-03-10,8.33
PAN,Panama,2020-03-11,8.33
PAN,Panama,2020-03-12,8.33
PAN,Panama,2020-03-13,8.33
PAN,Panama,2020-03-14,8.33
PAN,Panama,2020-03-15,8.33
PAN,Panama,2020-03-16,8.33
PAN,Panama,2020-03-17,8.33
PAN,Panama,2020-03-18,8.33
PAN,Panama,2020-03-19,8.33
PAN,Panama,2020-03-20,8.33
PAN,Panama,2020-03-21,8.33
PAN,Panama,2020-03-22,8.33
PAN,Panama,2020-03-23,8.33
PAN,Panama,2020-03-24,8.33
PAN,Panama,2020-03-25,8.33
PAN,Panama,2020-03-26,8.33
PAN,Panama,2020-03-27,8.33
PAN,Panama,2020-03-28,8.33
PAN,Panama,2020-03-29,8.33
PAN,Panama,2020-03-30,8.33
PAN,Panama,2020-03-31,8.33
PAN,Panama,2020-04-01,8.33
PAN,Panama,2020-04-02,8.33
PAN,Panama,2020-04-03,8.33
PAN,Panama,2020-04-04,8.33
PAN,Panama,2020-04-05,8.33
PAN,Panama,2020-04-06,8.33
PAN,Panama,2020-04-07,8.33
PAN,Panama,2020-04-08,8.33
PAN,Panama,2020-04-09,8.33
PAN,Panama,2020-04-10,8.33
PAN,Panama,2020-04-11,8.33
PAN,Panama,2020-04-12,8.33
PAN,Panama,2020-04-13,8.33
PAN,Panama,2020-04-14,8.33
PAN,Panama,2020-04-15,8.33
PAN,Panama,2020-04-16,8.33
PAN,Panama,2020-04-17,8.33
PAN,Panama,2020-04-18,8.33
PAN,Panama,2020-04-19,8.33
PAN,Panama,2020-04-20,8.33
PAN,Panama,2020-04-21,8.33
PAN,Panama,2020-04-22,8.33
PAN,Panama,2020-04-23,8.33
PAN,Panama,2020-04-24,8.33
PAN,Panama,2020-04-25,8.33
PAN,Panama,2020-04-26,8.33
PAN,Panama,2020-04-27,8.33
PAN,Panama,2020-04-28,8.33
PAN,Panama,2020-04-29,8.33
PAN,Panama,2020-04-30,8.33
PAN,Panama,2020-05-01,8.33
PAN,Panama,2020-05-02,8.33
PAN,Panama,2020-05-03,8.33
PAN,Panama,2020-05-04,8.33
PAN,Panama,2020-05-05,8.33
PAN,Panama,2020-05-06,8.33
PAN,Panama,2020-05-07,8.33
PAN,Panama,2020-05-08,8.33
PAN,Panama,2020-05-09,8.33
PAN,Panama,2020-05-10,8.33
PAN,Panama,2020-05-11,8.33
PAN,Panama,2020-05-12,8.33
PAN,Panama,2020-05-13,8.33
PAN,Panama,2020-05-14,8.33
PAN,Panama,2020-05-15,8.33
PAN,Panama,2020-05-16,8.33
PAN,Panama,2020-05-17,8.33
PAN,Panama,2020-05-18,8.33
PAN,Panama,2020-05-19,8.33
PAN,Panama,2020-05-20,8.33
PAN,Panama,2020-05-21,8.33
PAN,Panama,2020-05-22,8.33
PAN,Panama,2020-05-23,8.33
PAN,Panama,2020-05-24,8.33
PAN,Panama,2020-05-25,8.33
PAN,Panama,2020-05-26,8.33
PAN,Panama,2020-05-27,8.33
PAN,Panama,2020-05-28,8.33
PAN,Panama,2020-05-29,8.33
PAN,Panama,2020-05-30,8.33
PAN,Panama,2020-05-31,8.33
PAN,Panama,2020-06-01,8.33
PAN,Panama,2020-06-02,8.33
PAN,Panama,2020-06-03,8.33
PAN,Panama,2020-06-04,8.33
PAN,Panama,2020-06-05,8.33
PAN,Panama,2020-06-06,8.33
PAN,Panama,2020-06-07,8.33
PAN,Panama,2020-06-08,8.33
PAN,Panama,2020-06-09,8.33
PAN,Panama,2020-06-10,8.33
PAN,Panama,2020-06-11,8.33
PAN,Panama,2020-06-12,8.33
PAN,Panama,2020-06-13,8.33
PAN,Panama,2020-06-14,8.33
PAN,Panama,2020-06-15,8.33
PAN,Panama,2020-06-16,8.33
PAN,Panama,2020-06-17,8.33
PAN,Panama,2020-06-18,8.33
PAN,Panama,2020-06-19,8.33
PAN,Panama,2020-06-20,8.33
PAN,Panama,2020-06-21,8.33
PAN,Panama,2020-06-22,8.33
PAN,Panama,2020-06-23,8.33
PAN,Panama,2020-06-24,8.33
PAN,Panama,2020-06-25,8.33
PAN,Panama,2020-06-26,8.33
PAN,Panama,2020-06-27,8.33
PAN,Panama,2020-06-28,8.33
PAN,Panama,2020-06-29,8.33
PAN,Panama,2020-06-30,8.33
PAN,Panama,2020-07-01,8.33
PAN,Panama,2020-07-02,8.33
PAN,Panama,2020-07-03,8.33
PAN,Panama,2020-07-04,8.33
PAN,Panama,2020-07-05,8.33
PAN,Panama,2020-07-06,8.33
PAN,Panama,2020-07-07,8.33
PAN,Panama,2020-07-08,8.33
PAN,Panama,2020-07-09,8.33
PAN,Panama,2020-07-10,8.33
PAN,Panama,2020-07-11,8.33
PAN,Panama,2020-07-12,8.33
PAN,Panama,2020-07-13,8.33
PAN,Panama,2020-07-14,8.33
PAN,Panama,2020-07-15,8.33
PAN,Panama,2020-07-16,8.33
PAN,Panama,2020-07-17,8.33
PAN,Panama,2020-07-18,8.33
PAN,Panama,2020-07-19,8.33
PAN,Panama,2020-07-20,8.33
PAN,Panama,2020-07-21,8.33
PAN,Panama,2020-07-22,8.33
PAN,Panama,2020-07-23,8.33
PAN,Panama,2020-07-24,8.33
PAN,Panama,2020-07-25,8.33
PAN,Panama,2020-07-26,8.33
PAN,Panama,2020-07-27,8.33
PAN,Panama,2020-07-28,8.33
PAN,Panama,2020-07-29,8.33
PAN,Panama,2020-07-30,8.33
PAN,Panama,2020-07-31,8.33
PAN,Panama,2020-08-01,8.33
PAN,Panama,2020-08-02,8.33
PAN,Panama,2020-08-03,8.33
PAN,Panama,2020-08-04,8.33
PAN,Panama,2020-08-05,8.33
PAN,Panama,2020-08-06,8.33
PAN,Panama,2020-08-07,8.33
PAN,Panama,2020-08-08,8.33
PAN,Panama,2020-08-09,8.33
PAN,Panama,2020-08-10,8.33
PAN,Panama,2020-08-11,8.33
PAN,Panama,2020-08-12,8.33
PAN,Panama,2020-08-13,8.33
PAN,Panama,2020-08-14,8.33
PAN,Panama,2020-08-15,8.33
PAN,Panama,2020-08-16,8.33
PAN,Panama,2020-08-17,8.33
PAN,Panama,2020-08-18,8.33
PAN,Panama,2020-08-19,8.33
PAN,Panama,2020-08-20,8.33
PAN,Panama,2020-08-21,8.33
PAN,Panama,2020-08-22,8.33
PAN,Panama,2020-08-23,8.33
PAN,Panama,2020-08-24,8.33
PAN,Panama,2020-08-25,8.33
PAN,Panama,2020-08-26,8.33
PAN,Panama,2020-08-27,8.33
PAN,Panama,2020-08-28,8.33
PAN,Panama,2020-08-29,8.33
PAN,Panama,2020-08-30,8.33
PAN,Panama,2020-08-31,8.33
PAN,Panama,2020-09-01,8.33
PAN,Panama,2020-09-02,8.33
PAN,Panama,2020-09-03,8.33
PAN,Panama,2020-09-04,8.33
PAN,Panama,2020-09-05,8.33
PAN,Panama,2020-09-06,8.33
PAN,Panama,2020-09-07,8.33
PAN,Panama,2020-09-08,8.33
PAN,Panama,2020-09-09,8.33
PAN,Panama,2020-09-10,8.33
PAN,Panama,2020-09-11,8.33
PAN,Panama,2020-09-12,8.33
PAN,Panama,2020-09-13,8.33
PAN,Panama,2020-09-14,8.33
PAN,Panama,2020-09-15,8.33
PAN,Panama,2020-09-16,8.33
PAN,Panama,2020-09-17,8.33
PAN,Panama,2020-09-18,8.33
PAN,Panama,2020-09-19,8.33
PAN,Panama,2020-09-20,8.33
PAN,Panama,2020-09-21,8.33
PAN,Panama,2020-09-22,8.33
PAN,Panama,2020-09-23,8.33
PAN,Panama,2020-09-24,8.33
PAN,Panama,2020-09-25,8.33
PAN,Panama,2020-09-26,8.33
PAN,Panama,2020-09-27,8.33
PAN,Panama,2020-09-28,8.33
PAN,Panama,2020-09-29,8.33
PAN,Panama,2020-09-30,8.33
PAN,Panama,2020-10-01,8.33
PAN,Panama,2020-10-02,8.33
PAN,Panama,2020-10-03,8.33
PAN,Panama,2020-10-04,8.33
PAN,Panama,2020-10-05,8.33
PAN,Panama,2020-10-06,8.33
PAN,Panama,2020-10-07,8.33
PAN,Panama,2020-10-08,8.33
PAN,Panama,2020-10-09,8.33
PAN,Panama,2020-10-10,8.33
PER,Peru,2020-02-28,5.95
PER,Peru,2020-02-29,5.95
PER,Peru,2020-03-01,5.95
PER,Peru,2020-03-02,5.95
PER,Peru,2020-03-03,5.95
PER,Peru,2020-03-04,5.95
PER,Peru,2020-03-05,5.95
PER,Peru,2020-03-06,5.95
PER,Peru,2020-03-07,5.95
PER,Peru,2020-03-08,5.95
PER,Peru,2020-03-09,5.95
PER,Peru,2020-03-10,5.95
PER,Peru,2020-03-11,5.95
PER,Peru,2020-03-12,5.95
PER,Peru,2020-03-13,5.95
PER,Peru,2020-03-14,5.95
PER,Peru,2020-03-15,5.95
PER,Peru,2020-03-16,5.95
PER,Peru,2020-03-17,5.95
PER,Peru,2020-03-18,5.95
PER,Peru,2020-03-19,5.95
PER,Peru,2020-03-20,5.95
PER,Peru,2020-03-21,5.95
PER,Peru,2020-03-22,5.95
PER,Peru,2020-03-23,5.95
PER,Peru,2020-03-24,5.95
PER,Peru,2020-03-25,5.95
PER,Peru,2020-03-26,5.95
PER,Peru,2020-03-27,5.95
PER,Peru,2020-03-28,5.95
PER,Peru,2020-03-29,5.95
PER,Peru,2020-03-30,5.95
PER,Peru,2020-03-31,5.95
PER,Peru,2020-04-01,5.95
PER,Peru,2020-04-02,5.95
PER,Peru,2020-04-03,5.95
PER,Peru,2020-04-04,5.95
PER,Peru,2020-04-05,5.95
PER,Peru,2020-04-06,5.95
PER,Peru,2020-04-07,5.95
PER,Peru,2020-04-08,5.95
PER,Peru,2020-04-09,5.95
PER,Peru,2020-04-10,5.95
PER,Peru,2020-04-11,5.95
PER,Peru,2020-04-12,5.95
PER,Peru,2020-04-13,5.95
PER,Peru,2020-04-14,5.95
PER,Peru,2020-04-15,5.95
PER,Peru,2020-04-16,5.95
PER,Peru,2020-04-17,5.95
PER,Peru,2020-04-18,5.95
PER,Peru,2020-04-19,5.95
PER,Peru,2020-04-20,5.95
PER,Peru,2020-04-21,5.95
PER,Peru,2020-04-22,5.95
PER,Peru,2020-04-23,5.95
PER,Peru,2020-04-24,5.95
PER,Peru,2020-04-25,5.95
PER,Peru,2020-04-26,5.95
PER,Peru,2020-04-27,5.95
PER,Peru,2020-04-28,5.95
PER,Peru,2020-04-29,5.95
PER,Peru,2020-04-30,5.95
PER,Peru,2020-05-01,5.95
PER,Peru,2020-05-02,5.95
PER,Peru,2020-05-03,5.95
PER,Peru,2020-05-04,5.95
PER,Peru,2020-05-05,5.95
PER,Peru,2020-05-06,5.95
PER,Peru,2020-05-07,5.95
PER,Peru,2020-05-08,5.95
PER,Peru,2020-05-09,5.95
PER,Peru,2020-05-10,5.95
PER,Peru,2020-05-11,5.95
PER,Peru,2020-05-12,5.95
PER,Peru,2020-05-13,5.95
PER,Peru,2020-05-14,5.95
PER,Peru,2020-05-15,5.95
PER,Peru,2020-05-16,5.95
PER,Peru,2020-05-17,5.95
PER,Peru,2020-05-18,5.95
PER,Peru,2020-05-19,5.95
PER,Peru,2020-05-20,5.95
PER,Peru,2020-05-21,5.95
PER,Peru,2020-05-22,5.95
PER,Peru,2020-05-23,5.95
PER,Peru,2020-05-24,5.95
PER,Peru,2020-05-25,5.95
PER,Peru,2020-05-26,5.95
PER,Peru,2020-05-27,5.95
PER,Peru,2020-05-28,5.95
PER,Peru,2020-05-29,5.95
PER,Peru,2020-05-30,5.95
PER,Peru,2020-05-31,5.95
PER,Peru,2020-06-01,5.95
PER,Peru,2020-06-02,5.95
PER,Peru,2020-06-03,5.95
PER,Peru,2020-06-04,5.95
PER,Peru,2020-06-05,5.95
PER,Peru,2020-06-06,5.95
PER,Peru,2020-06-07,5.95
PER,Peru,2020-06-08,5.95
PER,Peru,2020-06-09,5.95
PER,Peru,2020-06-10,5.95
PER,Peru,2020-06-11,5.95
PER,Peru,2020-06-12,5.95
PER,Peru,2020-06-13,5.95
PER,Peru,2020-06-14,5.95
PER,Peru,2020-06-15,5.95
PER,Peru,2020-06-16,5.95
PER,Peru,2020-06-17,5.95
PER,Peru,2020-06-18,5.95
PER,Peru,2020-06-19,5.95
PER,Peru,2020-06-20,5.95
PER,Peru,2020-06-21,5.95
PER,Peru,2020-06-22,5.95
PER,Peru,2020-06-23,5.95
PER,Peru,2020-06-24,5.95
PER,Peru,2020-06-25,5.95
PER,Peru,2020-06-26,5.95
PER,Peru,2020-06-27,5.95
PER,Peru,2020-06-28,5.95
PER,Peru,2020-06-29,5.95
PER,Peru,2020-06-30,5.95
PER,Peru,2020-07-01,5.95
PER,Peru,2020-07-02,5.95
PER,Peru,2020-07-03,5.95
PER,Peru,2020-07-04,5.95
PER,Peru,2020-07-05,5.95
PER,Peru,2020-07-06,5.95
PER,Peru,2020-07-07,5.95
PER,Peru,2020-07-08,5.95
PER,Peru,2020-07-09,5.95
PER,Peru,2020-07-10,5.95
PER,Peru,2020-07-11,5.95
PER,Peru,2020-07-12,5.95
PER,Peru,2020-07-13,5.95
PER,Peru,2020-07-14,5.95
PER,Peru,2020-07-15,5.95
PER,Peru,2020-07-16,5.95
PER,Peru,2020-07-17,5.95
PER,Peru,2020-07-18,5.95
PER,Peru,2020-07-19,5.95
PER,Peru,2020-07-20,5.95
PER,Peru,2020-07-21,5.95
PER,Peru,2020-07-22,5.95
PER,Peru,2020-07-23,5.95
PER,Peru,2020-07-24,5.95
PER,Peru,2020-07-25,5.95
PER,Peru,2020-07-26,5.95
PER,Peru,2020-07-27,5.95
PER,Peru,2020-07-28,5.95
PER,Peru,2020-07-29,5.95
PER,Peru,2020-07-30,5.95
PER,Peru,2020-07-31,5.95
PER,Peru,2020-08-01,5.95
PER,Peru,2020-08-02,5.95
PER,Peru,2020-08-03,5.95
PER,Peru,2020-08-04,5.95
PER,Peru,2020-08-05,5.95
PER,Peru,2020-08-06,5.95
PER,Peru,2020-08-07,5.95
PER,Peru,2020-08-08,5.95
PER,Peru,2020-08-09,5.95
PER,Peru,2020-08-10,5.95
PER,Peru,2020-08-11,5.95
PER,Peru,2020-08-12,5.95
PER,Peru,2020-08-13,5.95
PER,Peru,2020-08-14,5.95
PER,Peru,2020-08-15,5.95
PER,Peru,2020-08-16,5.95
PER,Peru,2020-08-17,5.95
PER,Peru,2020-08-18,5.95
PER,Peru,2020-08-19,5.95
PER,Peru,2020-08-20,5.95
PER,Peru,2020-08-21,5.95
PER,Peru,2020-08-22,5.95
PER,Peru,2020-08-23,5.95
PER,Peru,2020-08-24,5.95
PER,Peru,2020-08-25,5.95
PER,Peru,2020-08-26,5.95
PER,Peru,2020-08-27,5.95
PER,Peru,2020-08-28,5.95
PER,Peru,2020-08-29,5.95
PER,Peru,2020-08-30,5.95
PER,Peru,2020-08-31,5.95
